Event_ID,Outcome,week_before_event,article_count,certainty_score_mean,certainty_score_sum,relevance_score_max,relevance_score_mean,relevance_score_min,relevance_score_std,rhetoric_score_max,rhetoric_score_mean,rhetoric_score_sum,sentiment_compound_max,sentiment_compound_mean,sentiment_compound_min,sentiment_compound_std
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-2,24,0.7083333333333334,17.0,2.0,0.9583333333333334,0.0,0.35864075117838623,5.0,0.5416666666666666,13.0,0.9719,0.15452083333333333,-0.9451,0.7078788449391031
EAS_2012_SCARBOROUGH_NOCONFLICT,No Conflict,-1,11,0.18181818181818182,2.0,1.0,0.36363636363636365,0.0,0.504524979109513,3.0,0.5454545454545454,6.0,0.9127,-0.10420000000000003,-0.9481,0.6628425801048089
EUR_2014_DONBAS_CONFLICT,Conflict,-12,2,0.0,0.0,1.0,0.5,0.0,0.7071067811865476,0.0,0.0,0.0,0.644,-0.11835000000000001,-0.8807,1.078125709275129
EUR_2014_DONBAS_CONFLICT,Conflict,-11,4,0.25,1.0,1.0,0.5,0.0,0.5773502691896257,3.0,1.0,4.0,0.9062,0.31379999999999997,-0.128,0.4730150385206232
EUR_2014_DONBAS_CONFLICT,Conflict,-10,21,0.23809523809523808,5.0,3.0,1.0,0.0,0.8366600265340756,11.0,2.238095238095238,47.0,0.765,-0.3834666666666666,-0.9876,0.5764619452603384
EUR_2014_DONBAS_CONFLICT,Conflict,-9,20,0.05,1.0,3.0,1.3,0.0,1.0809352675491621,6.0,1.4,28.0,0.9559,-0.07076500000000001,-0.9754,0.6968709744467162
EUR_2014_DONBAS_CONFLICT,Conflict,-8,16,0.375,6.0,2.0,0.4375,0.0,0.6291528696058958,7.0,1.1875,19.0,0.9716,0.07840625000000001,-0.9686,0.730310666742814
EUR_2014_DONBAS_CONFLICT,Conflict,-7,6,0.6666666666666666,4.0,2.0,0.8333333333333334,0.0,0.983192080250175,4.0,0.8333333333333334,5.0,0.9203,0.043333333333333335,-0.9548,0.8722948140775953
EUR_2014_DONBAS_CONFLICT,Conflict,-6,41,0.3170731707317073,13.0,3.0,1.0975609756097562,0.0,0.8001524245036219,10.0,1.4146341463414633,58.0,0.7845,-0.38803658536585367,-0.9889,0.611817133119079
EUR_2014_DONBAS_CONFLICT,Conflict,-5,56,0.39285714285714285,22.0,4.0,1.4464285714285714,0.0,1.025486897343587,9.0,1.0,56.0,0.9294,-0.2261,-0.9782,0.6238866627841951
EUR_2014_DONBAS_CONFLICT,Conflict,-4,121,0.4380165289256198,53.0,3.0,1.43801652892562,0.0,0.8840490369456424,9.0,1.43801652892562,174.0,0.9756,-0.22494545454545453,-0.9806,0.6494639895072448
EUR_2014_DONBAS_CONFLICT,Conflict,-3,63,0.5396825396825397,34.0,3.0,1.0317460317460319,0.0,0.860762114832416,5.0,0.8253968253968254,52.0,0.9832,-0.013479365079365086,-0.969,0.7208419586886172
EUR_2014_DONBAS_CONFLICT,Conflict,-2,58,0.4827586206896552,28.0,3.0,1.2413793103448276,0.0,0.8441822541139559,8.0,1.0344827586206897,60.0,0.9246,-0.04044137931034483,-0.9698,0.6540347225168655
EUR_2014_DONBAS_CONFLICT,Conflict,-1,50,0.2,10.0,3.0,1.2,0.0,1.0101525445522108,7.0,1.22,61.0,0.9496,-0.11143800000000001,-0.9734,0.6969959921092277
MEA_2020_IRAN_NOCONFLICT,No Conflict,-12,18,0.3333333333333333,6.0,3.0,0.9444444444444444,0.0,0.8726040960806521,8.0,1.3333333333333333,24.0,0.989,-0.24104444444444445,-0.9601,0.7074697185140711
MEA_2020_IRAN_NOCONFLICT,No Conflict,-11,16,0.5,8.0,2.0,0.75,0.0,0.5773502691896257,8.0,1.625,26.0,0.9639,-0.23551875,-0.9711,0.6054843815423042
MEA_2020_IRAN_NOCONFLICT,No Conflict,-10,14,0.35714285714285715,5.0,1.0,0.6428571428571429,0.0,0.4972451580988469,3.0,0.9285714285714286,13.0,0.7845,-0.28131428571428574,-0.9413,0.7108418950654356
MEA_2020_IRAN_NOCONFLICT,No Conflict,-9,14,0.7857142857142857,11.0,2.0,1.0714285714285714,0.0,0.4746311465493234,5.0,0.7857142857142857,11.0,0.9718,0.21084999999999998,-0.9898,0.5878527572707041
MEA_2020_IRAN_NOCONFLICT,No Conflict,-8,10,0.2,2.0,2.0,0.8,0.0,0.6324555320336759,10.0,1.6,16.0,0.9403,0.11465999999999998,-0.9612,0.6486137015032737
MEA_2020_IRAN_NOCONFLICT,No Conflict,-7,8,0.375,3.0,2.0,1.0,0.0,0.7559289460184544,5.0,1.375,11.0,0.9274,-0.2663875,-0.9485,0.8044155632462969
MEA_2020_IRAN_NOCONFLICT,No Conflict,-6,6,0.3333333333333333,2.0,1.0,0.3333333333333333,0.0,0.5163977794943222,6.0,2.3333333333333335,14.0,0.6369,-0.29750000000000004,-0.9403,0.6002166175640258
